PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,PC1_ABS_COSSIM,PC1_ABS_PEARSON,PC1_ABS_SPEARMAN,PC1_COSSIM_ABS_RANK,PC1_PEARSON_ABS_RANK,PC1_SPEARMAN_ABS_RANK,EVENNESS_COSSIM,EVENNESS_PEARSON,EVENNESS_SPEARMAN,R2_PHENO_PCS,ADJ_R2_PHENO_PCS,LinearModel_NUM_SIG_VARS
Basal_metabolic_rate,1,1,0.15,0.06,0.17,0.06,0.17,0.44,0.56,0.78,0.77,0.797584430313856,0.00383410752894634,0.00407379559289757,40,18,21,2.02580973116364,3.3138524567595677,3.3237121139809296,0.00233952309348725,0.00220128888454729,15
Creatinine,0.94,0.94,0.06,0.25,0.88,0.25,0.88,0.79,0.94,0.08,0.29,0.9560758569758572,0.00139192353054807,0.00146314301042511,40,9,12,1.958240153793084,3.340257346846404,3.3563533962944967,0.00110940008647561,9.70995433697608e-4,7
Cystatin_C,1,1,0,0.12,0.38,0.12,0.38,0.99,0.98,0.52,0.69,0.6603662626369288,0.00162528314028685,0.00260939809928432,40,16,19,2.0167489128214395,3.2252235939420912,3.24261699748182,0.0011049526189129,9.665473499009812e-4,8
Eosinophill_count,1,1,1,0.75,0.59,0.75,0.59,0.95,0.93,0.95,0.91,0.16941676045312554,0.00239308025205814,0.00253332432262503,40,21,19,2.3670067742823058,3.3282408937360146,3.3615586309826835,8.559950126960294e-4,7.175552485241266e-4,8
Forced_vital_capacity_FVC,1,1,1,1,0.43,1,0.43,0.59,0.78,0.35,0.32,0.23068231439097103,3.02233479062e-4,5.615577646447784e-4,40,2,4,2.3846208013893304,3.2783475773778536,3.2861934844853,0.00269568354392338,0.00255749868399468,14
Glycated_haemoglobin_HbA1c,1,1,0.84,0.97,0.11,0.97,0.11,0.07,0.18,0.53,0.54,0.8959154629657061,0.00664970511582417,0.00577465737591376,40,32,28,1.9600174323965451,3.37392306587227,3.422356066410038,0.0011179086894065,9.795052155666673e-4,10
Haematocrit_percentage,1,1,1,0.85,0.17,0.83,0.17,0.29,0.03,0.59,0.82,0.03053108261619296,0.00280511148247124,0.00133553997067345,40,17,12,3.069155681078483,3.2872387093430526,3.248971153868617,0.00109834810096623,9.5994191684301e-4,3
Heel_bone_mineral_density_BMD,0.97,0.97,0.74,0.56,0.43,0.56,0.43,0.86,0.87,0.32,0.56,0.7037005343717508,0.00235653992590038,0.00303892816122602,40,16,19,2.04911685821262,3.373831032371474,3.3911741973375067,0.0012546988206704,0.00111631430024805,12
Heel_bone_mineral_density_BMD_T_score_automated,0.99,0.99,0.74,0.33,0.57,0.36,0.57,0,0,0,0.02,0.8061674076460041,0.00255486868358847,0.00320551806699465,40,18,21,2.0155612912816343,3.3815398285041742,3.4028769172829594,0.0011777988814405,0.00103940370588795,12
Heel_Broadband_ultrasound_attenuation_direct_entry,0.99,0.99,0,0.66,0.23,0.65,0.23,0.37,0.14,0.77,0.45,0.7089260664021396,9.439941438017868e-4,8.51104667016891e-4,40,6,9,2.0586003923404252,3.255041533968283,3.18218509003663,0.00161128932002022,0.00147295420819593,9
Heel_quantitative_ultrasound_index_QUI_direct_entry,0.99,0.99,0.74,0.33,0.57,0.36,0.57,0,0,0,0.01,0.8061736031985458,0.00255493165698196,0.00320544938316104,40,18,21,2.015560848099388,3.381546955439513,3.40289441849195,0.00117785519371192,0.00103946002596189,12
High_light_scatter_reticulocyte_count,1,1,0.95,0.66,0.03,0.65,0.03,0.04,0,0.02,0,0.908991591637073,0.00537165109965976,0.00621502795627824,40,30,32,1.93586555365155,3.3493291945617645,3.365563827587299,7.537589624966348e-4,6.153050326643816e-4,6
High_light_scatter_reticulocyte_percentage,1,1,0,0.96,0.93,0.96,0.93,0.63,0.27,0.14,0.16,0.9064549914203132,0.00283813891221278,0.00389134984312883,40,22,28,1.9376711904028772,3.3272844010432596,3.310587675054914,6.014069692252307e-4,4.629319297492218e-4,5
Hip_circumference,0.96,0.96,0.74,0.69,0,0.69,0,0.24,0.26,0.28,0.28,0.8279232332350549,0.00636105796847739,0.00587415975777257,40,24,24,2.006965792345989,3.4185720931500505,3.4035554982437746,0.00194184625434977,0.00180355694395539,16
IGF_1,0.93,0.93,0,0.54,0.43,0.54,0.43,0,0.02,0,0.3,0.8006550110434959,2.456705312904462e-4,3.832568940333312e-4,40,2,2,1.977111300552154,3.3960050821150856,3.4317928945331944,0.00162751345515051,0.00148918059131608,15
Immature_reticulocyte_fraction,1,1,0.47,1,0.93,1,0.93,0.13,0.02,0.05,0.16,0.8413566220483759,0.00187817014395976,0.00183223079706491,40,12,10,1.949016750913316,3.3796683017513733,3.3783023663744807,7.541074229539414e-4,6.156535414036934e-4,4
Impedance_of_arm_left,1,1,0.26,0.34,0.35,0.34,0.35,0.43,0.43,0.36,0.41,0.6174265181360808,0.00673722219784002,0.00696271925404679,40,30,30,2.0847101775314254,3.287498139023786,3.3506797229333523,0.00229326027272986,0.00215501965368891,9
Impedance_of_arm_right,0.97,0.96,0.11,0.18,0.96,0.18,0.96,0.01,0.01,0.13,0.27,0.6251929448768778,0.00438558109946726,0.00455409351731608,40,23,22,2.0790385291335713,3.2636747813416247,3.316754278364078,0.00223752881247812,0.00209928047137686,11
Impedance_of_leg_left,0.94,0.94,0.77,0.56,0.41,0.56,0.41,0.03,0.08,0,0,0.931831008536676,0.00212624462632409,0.00315207779895812,40,12,21,1.9761316952546553,3.2867316408808436,3.27459314757204,0.00194591307618575,0.0018076243292836,13
Impedance_of_leg_right,1,1,0.36,0.99,0.75,0.99,0.75,0.95,0.85,0.83,0.41,0.6441154401535698,0.00520058439538404,0.00476999505661545,40,24,23,2.104593509125694,3.1776512057210153,3.212714906589852,0.0033172023753165,0.00317910363202367,17
Impedance_of_whole_body,1,1,0.91,0.91,0.2,0.92,0.2,0.51,0.34,0.7,0.69,0.7604835173741872,2.562773724804777e-4,8.55108865530036e-4,40,2,4,2.0365965633645384,3.371308159005808,3.3850565569206377,0.00251677412553701,0.00237856447621098,12
LDL_direct,0.88,0.83,0.12,0.22,0.78,0.22,0.78,0.75,0.72,0.18,0.45,0.35200663590719367,0.00259982734891641,0.00260984571693756,40,16,18,2.269488022905746,3.429843873774855,3.4026651476299175,9.716772302696884e-4,8.33253494837205e-4,8
Leg_fat_free_mass_left,1,1,0.36,0.89,0.08,0.89,0.08,0.49,0.44,0.62,0.61,0.4157489408290062,0.00562510663571992,0.00515527400743395,40,22,22,2.2351584229674297,3.2931183908418102,3.318944937124048,0.00281830210207856,0.00268013423197732,15
Leg_fat_free_mass_right,1,1,0.64,0.96,0.38,0.96,0.38,0.93,0.85,0.81,0.87,0.644013077183323,0.0052193263299189,0.00480413473674483,40,21,21,2.130401252077589,3.3475628131269186,3.3659999284688698,0.00259783462845159,0.00245963621073674,14
Leg_fat_percentage_left,0.99,0.99,0,0.87,0.11,0.87,0.11,0.78,0.87,0.85,0.69,0.9469479408461986,0.0166725557264586,0.01484338475570873,40,38,37,1.962725358122408,3.266211160602609,3.2769555345342978,0.00244998814978032,0.00231176924669851,14
Leg_fat_percentage_right,0.83,0.83,0.36,0.1,0,0.1,0,0.72,0.75,0.53,0.59,0.9053697088860402,0.01566463551883319,0.01504068113311567,40,38,38,1.972225932859871,3.31182487710825,3.3505066070311407,0.00280576468844779,0.00266759508118297,15
Leg_predicted_mass_left,1,1,0,0.99,0.12,0.99,0.12,0.66,0.64,0.18,0.17,0.6091728866142034,0.00516596244842933,0.00504122621937436,40,23,23,2.125809415964655,3.3097320809903032,3.3397869126556756,0.00278137435473564,0.00264320136798601,14
Leg_predicted_mass_right,1,1,0.94,0.82,0.07,0.83,0.07,0.53,0.66,0.29,0.48,0.6477336592029979,0.0051355276229814,0.00455171653606023,40,19,19,2.1148244126099227,3.353187601274289,3.380503421248351,0.00264372260330799,0.00250553054375612,13
Mean_corpuscular_haemoglobin,0.97,0.97,0.3,0.23,0,0.23,0,0.44,0.11,0.67,0.06,0.5928291733888628,0.01414863163331907,0.01207639397352028,40,36,36,2.0702354976331185,2.9687803531927273,3.0375770288934896,0.00428985697418938,0.0041518930003318,9
Mean_corpuscular_haemoglobin_concentration,1,1,0.4,0.86,0.74,0.86,0.74,0.88,0.97,0.57,0.66,0.49261071796808054,0.01235946400740955,0.01117547654155522,40,36,36,2.065445128043278,2.8670386284206195,2.9094542773480843,0.00420889598514272,0.00407092079346249,5
Mean_corpuscular_volume,1,1,0.3,0.82,1,0.82,1,0.86,0.5,0.68,0.94,0.2827933010704637,0.01384748688163843,0.0124682064336222,40,36,36,2.266220500623854,2.9636742530177287,3.022014116645124,0.00360397754611938,0.00346591853792666,8
Mean_reticulocyte_volume,0.78,0.76,0,0.91,0.32,0.91,0.32,0,0,0,0,0.5103797738717024,0.00499086976385309,0.00379922480331125,40,33,29,2.016005940378226,3.361640544922031,3.353103138871107,6.188304557701568e-4,4.803578304639622e-4,7
Mean_time_to_correctly_identify_matches,0.92,0.96,0.28,0.55,0.71,0.55,0.71,0.96,0.96,0.89,0.89,0.9524169671491198,0.00598904456997495,0.0047891142906659,40,25,22,1.9520584427802603,3.3818117584081926,3.352391206255424,0.00184101802360399,0.0017027147426144,13
Monocyte_count,0.96,0.95,0,0,0.35,0,0.35,0.27,0.13,0.74,0.54,0.7443725846461258,0.00840156565845508,0.00787958832257332,40,37,37,1.995596685189733,3.468092871588146,3.487682954776554,8.796881199469634e-4,7.412516386534618e-4,7
Neuroticism_score,0.97,0.97,0.93,0.86,0.42,0.86,0.42,0.97,0.97,0.97,0.97,0.7070621407008398,0.01117471300600962,0.01147761476173166,40,36,36,2.136075227958554,3.2953243828543775,3.289686855619178,0.00380114018002633,0.00366310849036655,16
Neutrophill_count,0.91,0.81,0,0.02,0,0.02,0,0.53,0.66,0.54,0.5,0.8341791166039934,0.00143369557144157,9.643635758420084e-4,40,11,8,1.9673230775667896,3.3279504187833484,3.3315371822446975,0.00128942032916473,0.00115104061969806,9
Peak_expiratory_flow_PEF,0.99,0.99,0.83,0.04,0.59,0.04,0.59,0.83,0.7,0.65,0.6,0.12272956096644072,0.01256216433541322,0.01136766228991505,40,37,37,2.4761114124520054,3.2363655678346817,3.2361669470218044,0.00131775045134381,0.00117937466725259,7
Phosphate,0.97,0.97,0.25,0.1,0.01,0.1,0.01,0.24,0.52,0.57,0.51,0.41933560748411824,0.00751721712794322,0.00814815048152618,40,35,33,2.0748855267731527,3.400439419803886,3.391576391649459,8.480828308562251e-4,7.096419703853662e-4,8
Platelet_count,0.99,0.99,0,0.92,0.48,0.92,0.48,0.02,0.01,0.06,0.57,0.7268419698933694,0.00656439878076431,0.00591826456870247,40,30,29,1.9904608507558168,3.280967521015507,3.3038744623358465,0.00110366138423065,9.652559363073632e-4,8
Platelet_crit,0.97,0.96,0,0.02,0.03,0.02,0.03,0.69,0.52,0.08,0.04,0.5989522508027815,0.0034904562719467,0.0032423908423846,40,20,21,2.084857429617029,3.387889159373561,3.3677915837159964,0.00132303412037172,0.00118465906837705,13
Red_blood_cell_erythrocyte_count,0.99,0.99,0.51,0.54,0,0.54,0,0.19,0.07,0.05,0.01,0.8473352568645343,0.01054197960476077,0.01113424809103515,40,36,37,1.9745581683946645,3.3402558963953064,3.3880289692382033,0.00176264638424296,0.00162433224420677,13
Red_blood_cell_erythrocyte_distribution_width,0.97,0.97,0.36,0.9,0.61,0.9,0.61,0.07,0.13,0.12,0.16,0.7371222421759651,0.00439030881731775,0.00391271111025399,40,26,24,1.9628223470882744,3.107926637591427,3.147781763204795,0.00121461482423103,0.00107622474983548,9
Reticulocyte_count,0.94,0.94,0,0.51,0.15,0.56,0.15,0.38,0.45,0.47,0.36,0.9003048453899009,0.00414771705753673,0.00470601054975568,40,29,32,1.9460536684230116,3.4307977020643037,3.4498032978320765,5.957810826774227e-4,4.5730526368770175e-4,4
Reticulocyte_percentage,0.97,0.97,0.48,0.44,0.61,0.44,0.61,0.73,0.49,0.13,0.43,0.8953465430642644,0.00569813753904191,0.00620063600664158,40,32,34,1.9441111944640097,3.3775505594586464,3.3605688276825223,7.107426050002963e-4,5.722827148916254e-4,6
SHBG,0.94,0.96,0.88,0.94,0.5,0.94,0.5,0.27,0.48,0.09,0.09,0.41951103129275846,1.7920187277590478e-4,6.261093373635801e-4,40,2,2,2.0798737066258353,3.438084019029527,3.512704211409963,7.214131939238558e-4,5.829547823146264e-4,5
Sitting_height,1,1,0.66,0.91,0.01,0.91,0.01,0.31,0.28,0.04,0.02,0.4686804059114797,0.00618859322909892,0.00672547104441506,40,27,29,2.158484294072923,3.3710458004030843,3.371970529000172,0.00236236215924138,0.00222413111484509,13
Speed_of_sound_through_heel,0.97,0.97,0.09,0,0.17,0,0.17,0,0,0,0.01,0.8413795601850402,0.00354566927060524,0.00378085458794581,40,21,20,1.9909569750633127,3.4116678749226117,3.4393721268453876,0.00104956483702376,9.111518935711604e-4,11
Standing_height,1,1,0.97,0.99,0,0.99,0,0.64,0.21,0.75,0.63,0.29017355839594866,0.00708642936787856,0.00805894171278633,40,28,31,2.4201063677684886,3.15626465422468,3.178542798353999,0.00465972142494736,0.00452180869890506,11
Systolic_blood_pressure_automated_reading,0.94,0.94,0.32,0.06,0.53,0.06,0.53,0.53,0.74,0.94,0.87,0.9283325418948392,0.0035503599662866,0.00245042174121672,40,20,16,1.953948360614442,3.4124826540588815,3.3995642422518344,0.00107062569916838,9.322156738744702e-4,10
Testosterone,0.96,0.96,0,0,0,0,0,0,0.01,0.97,0.96,0.9142640428984232,0.0058383090254297,0.00532073951330018,40,31,32,1.9750743549249603,3.1248571030045538,3.0944430586448908,0.00156881889777714,0.00143047790132044,5
Total_bilirubin,0.99,0.99,0,0.76,0.57,0.75,0.57,0.17,0.08,0.96,0.87,0.6542288366736646,0.00211219760749006,0.00136827667480226,40,22,15,1.971813577353419,3.2809786450368525,3.263678682359421,5.583746550292707e-4,4.198936530659392e-4,4
Total_protein,0.99,0.99,0.16,0.99,0.1,0.99,0.1,0.74,0.38,0.44,0.63,0.5848246529104741,0.00326376143622938,0.00443390786370129,40,28,33,1.9799874590447264,3.390599423955686,3.36659428777428,5.330701785425453e-4,3.945856704321571e-4,6
Trunk_fat_free_mass,1,1,0.49,0.43,0.42,0.43,0.42,0.03,0.1,0,0,0.7851072888986039,0.0036838290538484,0.00397630102127766,40,16,17,2.046641805531112,3.250992908188782,3.3105155951317555,0.00300518163582676,0.00286703965944901,17
Trunk_predicted_mass,1,1,0.42,0.52,0.02,0.52,0.02,0.53,0.34,0.22,0.18,0.7100516894592592,0.00440903579028956,0.00452245237599828,40,18,20,2.0792937801637086,3.274893130457607,3.317343469996057,0.00296181321821096,0.00282366523277599,17
Urate,0.72,0.72,0.11,0.15,0.12,0.15,0.12,0.21,0.35,0.18,0.49,0.1280395733106434,4.758917969230651e-4,6.589236278788653e-4,40,7,10,2.4250907698332274,3.3650668020804417,3.3216455099988176,4.744108325591396e-4,3.3591819670553136e-4,4
Weight,1,1,0.68,1,0.98,1,0.98,0.98,0.89,0.79,0.93,0.9192343742887468,8.262991749195598e-5,3.408479298636202e-5,40,1,1,1.9871069430273176,3.4282620944098636,3.4301619018372107,0.00153097721090017,0.00139263097116104,15
Whole_body_fat_free_mass,1,1,0.99,0.74,0.65,0.74,0.65,0.88,0.76,0.8,0.75,0.01728062412709061,0.00295803675645064,0.00283302981618774,38,14,12,3.3862631802108343,3.3524874419989925,3.379238534926256,0.00233615186366844,0.0021979171876163,16
Whole_body_water_mass,1,1,0.99,0.45,0.46,0.45,0.46,0.11,0.3,0.07,0,0.48216895716686287,0.00330169387209439,0.003116599747311,40,14,13,2.2043320617518485,3.3613822766325905,3.379996416647358,0.00257334378243958,0.002435141971313,18
