PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Body_mass_index_BMI,1,1,0,1,0.39,1,0.39,1,0.99,0.99,0.96,308,85,0.210298526052372,0.0181085598076328,0.02244913565573279,0.9999999999336098,7.872294839448183e-4,5.006157251228413,0.0491930653770042,0.0145183905238735,0.01733321696020455,3.42199910556215e-4,1.473323441617387,0.2943022697211244
C_reactive_protein,1,1,0.73,1,1,1,1,0.31,0.33,0.28,0.89,238,54,0.216982450624473,0.0241857479385464,0.04234269748332116,0.9999999999903512,0.00313727228742002,7.791056336931095,0.0735477340461488,0.01559105664199495,0.02019485144414682,5.538133103635712e-4,1.0905219779839284,0.1399710040363392
Calcium,1,1,1,1,0.48,1,0.48,1,0.98,0.95,0.61,272,68,0.207184440983386,0.02302846875174285,0.0339912110806362,0.9999999945703292,0.0018992162103399,6.934207060449786,0.0790018738744098,0.01711916882181625,0.02213925456277211,6.651022728228595e-4,1.5054693102685035,0.21710763713058948
Cholesterol,1,1,0.83,0.8,0.07,0.8,0.07,0.77,0.44,0.67,0.42,384,46,0.421857965193158,0.03072411403171115,0.05029261395093865,0.999999999892956,0.00596110312494342,16.998903515417265,0.0738770375334735,0.01659246202565325,0.02150074441899879,5.947038357474369e-4,0.9890342432739444,0.05818223760002718
Creatinine,1,1,0,0.9,0.26,0.9,0.26,0.99,0.97,0.99,1,297,40,0.146670725667743,0.0203362789953751,0.02726730755407703,0.999983473008092,0.00107780826822522,7.0076980413977985,0.0551274117542183,0.01575482543386705,0.01897069125317425,4.5727736327125847e-4,0.7588276501269702,0.10828486696261956
Cystatin_C,1,1,0,0.9,0.48,0.9,0.48,0.84,0.8,0.95,0.8,290,33,0.623662909084188,0.0237424058346689,0.03741042841080692,0.9999883937170284,0.00453755779871332,9.614480101577378,0.0497583374601688,0.0172372150817448,0.02030451997142125,5.270635263556451e-4,0.6700491590569014,0.06969166839785454
Diastolic_blood_pressure_automated_reading,1,1,0,1,0.84,1,0.84,0.84,0.64,0.75,0.68,297,77,0.0820148046041491,0.0204658972023057,0.02485283183358921,0.999992955102008,7.568069338497598e-4,5.467623003389628,0.0664131194114035,0.0165268583299672,0.02222590088545498,6.672693132690028e-4,1.7113943681800337,0.31300518838242186
Eosinophill_count,1,1,0.03,1,1,1,1,0.96,0.95,0.44,0.36,579,162,0.178916723635998,0.0259872612954524,0.03345676507178193,1,0.00150297695972707,13.951471034933068,0.0599567828287711,0.01660823090537155,0.02101062505027012,5.581189932345982e-4,3.4037212581437597,0.24396862880058937
Forced_expiratory_volume_in_1_second_FEV1,1,1,1,1,0.99,1,0.99,0.98,0.96,0.9,0.92,456,179,0.0870024562777739,0.0156763740703914,0.01928659776291366,0.999999995719334,4.896350223119995e-4,5.342387580327084,0.0868388915347341,0.0122783645603559,0.01684163539139261,3.906012511264204e-4,3.0146527350592778,0.564289409881173
Forced_vital_capacity_FVC,1,1,1,0.27,0.85,0.27,0.85,0.73,0.74,0.52,0.36,346,61,0.106447443832448,0.0155174315751716,0.01957762010728069,0.9996476595582796,5.286997048785624e-4,5.579621730574997,0.0473714705499708,0.0129618970800131,0.01662559288991572,3.6411050352786584e-4,1.0141611662848589,0.1817616346153893
Gamma_glutamyltransferase,1,1,0,0.31,0.33,0.31,0.33,0.9,0.96,0.67,0.1,273,30,0.275130967835782,0.0253718703994843,0.03572104563166334,0.999639174802473,0.00213929183708915,8.680214088494191,0.0763206357462158,0.0192065216727607,0.02562457013883313,9.111347390840862e-4,0.768737104164994,0.08856199816361343
Glycated_haemoglobin_HbA1c,1,1,0.81,1,0,1,0,0.89,0.53,0.85,0.66,402,52,0.224231049765561,0.02513888089537225,0.035276950968443,0.999999494117113,0.00204749769906309,12.34693283895505,0.0723512377999088,0.0162830805468331,0.02334443268701558,7.624919226002876e-4,1.2139104997248102,0.09831676543140136
Haematocrit_percentage,1,1,0.99,1,0.98,1,0.98,0.27,0.38,0.15,0.16,318,55,0.266885152723538,0.0189568853825379,0.02630848897927765,0.9999998936301192,0.00142113224519701,6.9191326015500225,0.0551012197893607,0.0128442089197449,0.01755519500738707,4.141651604549506e-4,0.9655357254062888,0.13954577560632236
Haemoglobin_concentration,1,1,0.97,0.9,0.89,0.9,0.89,0.9,0.98,0.81,0.97,366,62,0.154524941256475,0.01770207487275295,0.02348418274065012,0.9999999745678004,8.832415542907015e-4,7.139191553157639,0.0651916672658891,0.01245152635611379,0.01636003822893297,3.465929771677331e-4,1.0143223701938442,0.1420780438010818
HDL_cholesterol,1,1,0,0.78,0.86,0.78,0.86,0.69,0.39,0.64,0.96,273,33,0.285932309964897,0.02657606756042515,0.04173411604049736,0.999999635591955,0.00338753959078025,10.016187849719367,0.050841773345406,0.0160012879298501,0.02031074806613697,5.023666132249519e-4,0.67025468618252,0.06691714415093554
Heel_bone_mineral_density_BMD,1,1,0,1,0.84,1,0.84,1,0.95,0.95,0.99,458,122,0.299180311763684,0.03003255568757425,0.04042518103908798,1,0.00248746488241804,13.582860829133562,0.115003508079722,0.02096565527778249,0.02737420248916456,0.0010488638151312,3.3396527036780763,0.2458725555455102
Heel_bone_mineral_density_BMD_left,1,1,1,1,0.33,1,0.33,0.33,0.46,0.08,0.51,224,81,0.340245899825858,0.0401421221389687,0.05219408123429834,0.9999999999998672,0.00414636118861692,7.463753616504663,0.0925047954666733,0.0277902959880146,0.03283615663761156,0.00124924541960883,2.6597286876465365,0.3563526911934841
Heel_bone_mineral_density_BMD_right,1,1,0.6,1,0.35,1,0.35,0.8,0.69,0.29,0.2,137,18,0.307269135223799,0.0408824036766684,0.05553484931704986,0.999909173532154,0.00468480119650343,6.608647068728934,0.0695523408201997,0.02789786639276539,0.03368659395506176,0.00140414541767374,0.6063586911911117,0.09175231857369182
Heel_bone_mineral_density_BMD_T_score_automated,1,1,0,1,0.6,1,0.62,0.93,0.87,0.98,0.92,463,127,0.300246578464082,0.0300326644969274,0.04076003684054826,1,0.00254234192575526,13.695372378424215,0.115248717439683,0.020774792405456,0.02646183901218315,9.682904809258132e-4,3.3606535545472607,0.2453860663067225
Heel_bone_mineral_density_BMD_T_score_automated_left,1,1,1,1,0.06,1,0.06,0.35,0.3,0.06,0.22,214,72,0.340853015061479,0.0399688989227802,0.05222438403546473,0.99999999999951406,0.0041482036060914,7.415862533035991,0.0922991996072056,0.02712377499978835,0.03347431577179208,0.00133541982835945,2.4101507355690295,0.324999381370994
Heel_bone_mineral_density_BMD_T_score_automated_right,1,1,0.02,0.87,0.87,0.87,0.87,0.77,0.86,0.46,0.66,126,15,0.307548554809047,0.0430117310320215,0.05735750522495186,0.9999617245968764,0.00490296636741962,6.366683079969658,0.0607967993439808,0.0257092178356368,0.03204096919799629,0.00128034363418588,0.4806145379699443,0.07548899983446872
