PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Basal_metabolic_rate,1,1,0.53,0.46,0.58,0.46,0.58,0.69,0.79,0.93,0.93,262,20,0.118727909277205,0.01725150348136495,0.02145578270629993,0.9999735167624876,6.564973395437334e-4,5.192299414924583,0.0279054588961619,0.01229045576964915,0.01416549115881011,1.81359549121944e-4,0.2833098231762022,0.05456346033548552
Creatinine,0.98,0.98,0.5,0.48,0.95,0.48,0.95,0.92,0.98,0.41,0.65,194,5,0.146670725667743,0.0223219044800639,0.02941643497890233,0.9827535312448866,0.00122501335603907,5.559706211012541,0.0365992626564073,0.0160154426621548,0.01938190787469644,9.77839900747502e-5,0.0969095393734822,0.01743069430207049
Cystatin_C,1,1,0.41,0.5,0.68,0.5,0.68,1,0.99,0.72,0.81,242,14,0.62366290908415,0.02452370820618365,0.03898110692716201,0.8667491000467954,0.00499066527152642,8.887692379392938,0.071058759759045,0.02276646530531895,0.0284838211651777,0.00110787071593114,0.3987734963124878,0.04486805790410643
Eosinophill_count,1,1,1,0.91,0.81,0.91,0.81,0.97,0.96,0.96,0.93,267,14,0.17891672363606,0.031159451340695,0.03799494165480786,0.9817987770513285,0.0018886828007545701,9.612720238666393,0.0776719373130139,0.02136167466266175,0.03164638411915568,0.00139941186666143,0.4430493776681795,0.04608990656838728
Forced_vital_capacity_FVC,1,1,1,1,0.73,1,0.73,0.89,0.94,0.67,0.61,244,51,0.106979278331291,0.0173066667958603,0.02179110307178224,0.9999999875917294,6.552398356887076e-4,4.2056828928539725,0.041152974936732,0.0130091637278686,0.01554849012396773,2.774151449562895e-4,0.7929729963223542,0.18854797580429167
Glycated_haemoglobin_HbA1c,1,1,0.94,0.98,0.45,0.98,0.45,0.21,0.45,0.74,0.77,254,18,0.224231049765561,0.02769926671547245,0.03899682137284734,0.5693572813143274,0.00248561243972703,9.203249843991973,0.0773993841774821,0.035454485044312,0.04082520940378728,0.00210930088266064,0.7348537692681711,0.07984720416428719
Haematocrit_percentage,1,1,1,0.94,0.47,0.93,0.47,0.56,0.16,0.79,0.94,222,33,0.266885152723436,0.0204435656230436,0.02909365578982937,0.9999852219576724,0.00176868310059784,5.4987009442777515,0.0712837587758552,0.0156893268236468,0.01921328005751186,5.025182460859949e-4,0.6340382418978913,0.11530691491009457
Heel_bone_mineral_density_BMD,0.99,0.99,0.91,0.82,0.75,0.82,0.75,0.94,0.95,0.66,0.8,191,7,0.299180311763684,0.0345997956558458,0.0469471949800016,0.9913173682462296,0.00331998055508767,8.638283876320294,0.0365914262223948,0.0255027795342126,0.02817640663921168,8.917978877999169e-4,0.1972348464744818,0.0228326423741586
Heel_bone_mineral_density_BMD_T_score_automated,0.99,0.99,0.87,0.6,0.78,0.62,0.78,0.03,0.1,0.06,0.1,194,9,0.300246578464082,0.0345358231204595,0.04727057748730919,0.9694298055605132,0.00340097185711755,8.7450568351522,0.0687097475371117,0.0297968057404196,0.03287109976991958,0.00142276721342991,0.29583989792927623,0.03382938538948071
Heel_Broadband_ultrasound_attenuation_direct_entry,0.99,0.99,0.37,0.82,0.56,0.82,0.56,0.68,0.37,0.88,0.73,176,10,0.227757971456148,0.0337758731014063,0.04416569041235808,0.9958076507683982,0.0028551048243561,7.331504608451441,0.0455496177948482,0.0243284319360938,0.02795440152521572,8.94824097953135e-4,0.2795440152521572,0.03812914676885164
Heel_quantitative_ultrasound_index_QUI_direct_entry,0.99,0.99,0.87,0.6,0.78,0.62,0.78,0.03,0.07,0.06,0.09,194,9,0.300250594004732,0.0345396528102708,0.04727073109641836,0.9694298055605132,0.00340100000003348,8.745085252837397,0.0687021450934534,0.0298014885360606,0.03287194559397208,0.00142274790498821,0.2958475103457488,0.03383014593822962
High_light_scatter_reticulocyte_count,1,1,0.97,0.79,0.34,0.79,0.34,0.29,0.05,0.28,0.09,265,19,0.188716202767644,0.03016402531042745,0.04105480490382784,0.994150946587,0.00253152487928215,10.099482006341647,0.0824851941929145,0.0193759315668784,0.03127516189749656,0.00145533361445806,0.5942280760524348,0.05883748054398317
High_light_scatter_reticulocyte_percentage,1,1,0.03,0.99,0.95,0.99,0.95,0.79,0.53,0.42,0.35,263,14,0.186498801138712,0.0294825100724091,0.04197869345205402,0.985342552892846,0.00267369665650366,10.452694669561447,0.0660514359385786,0.02422159657199159,0.02874635860481225,0.00112552956467836,0.4024490204673716,0.03850193975715323
Hip_circumference,0.99,0.99,0.87,0.85,0.2,0.85,0.2,0.52,0.52,0.62,0.57,148,8,0.09962274322761,0.02284719289613715,0.02889348520681029,0.9746852514530544,0.00109257133800992,4.045087928953441,0.0659093437070534,0.0170457959380381,0.0247353802057192,9.49524985832062e-4,0.1978830416457536,0.04891934245220488
IGF_1,0.97,0.97,0,0.74,0.71,0.74,0.71,0.06,0.22,0.15,0.52,178,7,0.272766336893564,0.0312388653245893,0.04182573347798363,0.8929363323493187,0.00272921794422777,7.1522004247352005,0.0574066765753563,0.0270759842415132,0.03087053119912704,0.00128947644321798,0.2160937183938893,0.03021359939055257
Immature_reticulocyte_fraction,1,1,0.79,1,0.98,1,0.98,0.46,0.2,0.3,0.41,201,14,0.262099074884905,0.0297567352343435,0.04023636066756934,0.980538311574127,0.00270455320296383,7.524199444835467,0.0553486678806249,0.02038799657816604,0.0270094376481942,8.965756655948885e-4,0.3781321270747188,0.05025546303590673
Impedance_of_arm_left,1,1,0.59,0.61,0.63,0.61,0.63,0.68,0.67,0.62,0.65,217,18,0.0881922380529191,0.0161115294905528,0.01945195905298396,0.9331211034164308,5.032525106269692e-4,3.870939851543808,0.0488142017815301,0.01292271837850315,0.01890294236651725,4.5409534325560873e-4,0.3402529625973106,0.0878993153204411
Impedance_of_arm_right,0.99,0.98,0.58,0.56,0.98,0.56,0.98,0.13,0.14,0.38,0.47,192,10,0.0887655816685983,0.01673219524878535,0.02037460182324264,0.9908233631236104,5.60602937306532e-4,3.708177531830161,0.0465803072860117,0.01353121209596784,0.017048013899592,4.2966730410344463e-4,0.17048013899592,0.04597410386437997
Impedance_of_leg_left,0.98,0.98,0.92,0.8,0.56,0.8,0.56,0.37,0.31,0.23,0.2,115,5,0.0952902688415955,0.02446417380121095,0.02888450081034404,0.9984390692472502,0.00103043058741393,3.177295089137844,0.0228295531389898,0.0174361826383673,0.01798077444089574,3.893367248131036e-4,0.08990387220447871,0.02829572629619178
Impedance_of_leg_right,1,1,0.65,0.99,0.88,0.99,0.88,0.97,0.94,0.92,0.69,226,14,0.0964673006555474,0.0212990954944879,0.02526133007024142,0.526078215216798,8.179414899742599e-4,5.355401974891181,0.067220369719995,0.0192956232084143,0.03093879104071268,0.00112699686438911,0.4331430745699776,0.08087965695213362
Impedance_of_whole_body,1,1,0.96,0.94,0.51,0.94,0.51,0.73,0.62,0.84,0.86,129,14,0.133135994891029,0.0195550305133615,0.02421580155950545,0.9988757087666889,8.404294732905242e-4,2.784817179343127,0.0418518921321583,0.01516157405436275,0.01814359397916943,3.755386227529511e-4,0.254010315708372,0.09121256418286212
LDL_direct,0.95,0.92,0.59,0.56,0.91,0.56,0.91,0.88,0.86,0.41,0.6,193,5,0.820398088770537,0.03708659733437985,0.06697539971568452,0.946325537104745,0.01366393165246559,12.59137514654869,0.0426661857686086,0.0272805728383165,0.02864918109549726,9.81583822263041e-4,0.1432459054774863,0.01137651001660054
Leg_fat_free_mass_left,1,1,0.6,0.92,0.41,0.92,0.41,0.69,0.67,0.81,0.84,317,19,0.108509008740303,0.01510687954774745,0.01871266329926111,0.998721956950002,4.930353964358006e-4,5.576373663179813,0.0223926249088808,0.0117425076286843,0.01350338123608559,2.0565841369027437e-4,0.2565642434856263,0.04600915558792123
Leg_fat_free_mass_right,1,1,0.81,0.99,0.61,0.99,0.61,0.97,0.91,0.92,0.92,363,68,0.10843850772789,0.0156250518765192,0.01907730836431528,1,5.058146094903922e-4,5.627805967473009,0.0505245849352628,0.0110569405351312,0.01291379562228515,2.007257476656797e-4,0.8781381023153904,0.15603560381981169
Leg_fat_percentage_left,0.99,0.99,0.42,0.91,0.41,0.91,0.41,0.88,0.92,0.97,0.9,88,12,0.0558987267308934,0.01270817741477485,0.01454916931045279,0.9859074817274398,2.6875213714264666e-4,1.1057368675944124,0.0155750451535922,0.01106559788649575,0.01143315661439465,1.46399274179628e-4,0.13719787937273578,0.1240782354225168
Leg_fat_percentage_right,0.92,0.92,0.74,0.31,0.19,0.31,0.19,0.88,0.89,0.81,0.84,80,5,0.0539841058097437,0.0127775027207424,0.01504443690414843,0.994203095642192,2.8441217621770227e-4,1.1283327678111328,0.0121115155723725,0.0102835192321485,0.01040733319797135,1.277935270213741e-4,0.05203666598985677,0.04611819090462414
Leg_predicted_mass_left,1,1,0.49,1,0.45,1,0.45,0.83,0.78,0.47,0.44,312,22,0.10778986917578,0.01507076688705045,0.01868413794677025,0.9993364716382568,4.915114720555652e-4,5.418400004563372,0.0221034790469199,0.0119405689097689,0.01348019307689418,2.0434019505845115e-4,0.29656424769167206,0.05473280810606561
Leg_predicted_mass_right,1,1,0.96,0.92,0.38,0.92,0.38,0.74,0.82,0.53,0.67,283,14,0.107317583136712,0.0156847968346689,0.01949423462460743,0.9849532572458216,5.279451392509202e-4,5.2439491140194,0.0499359352504174,0.01222650466684995,0.0163902424657743,3.881095523634259e-4,0.22946339452084025,0.04375774621980654
Mean_corpuscular_haemoglobin,0.99,0.99,0.67,0.59,0.18,0.59,0.18,0.73,0.42,0.89,0.5,320,7,0.320325644326503,0.0320653929968996,0.04566730372352308,0.9988654323780668,0.0034224182847598,14.293866065462726,0.0334129695277256,0.0182315373642663,0.0214507732648953,5.783245979069271e-4,0.1501554128542671,0.01050488455443675
Mean_corpuscular_haemoglobin_concentration,1,1,0.65,0.94,0.84,0.94,0.84,0.93,0.98,0.78,0.81,100,16,0.151828384767285,0.02678293642921795,0.0337232615176542,0.999991871046587,0.00141889797686871,2.832753967482953,0.054867715024297,0.01587612494498675,0.01954154142938872,4.775281146581093e-4,0.3126646628702196,0.11037480362194609
Mean_corpuscular_volume,1,1,0.65,0.88,1,0.88,1,0.95,0.75,0.86,0.97,296,14,0.277083855982214,0.0351520964920757,0.04802954622923885,0.9997199118759288,0.00363917629836073,13.544332036645358,0.0502889344599506,0.01802622634700305,0.02507803387890024,7.273378685735573e-4,0.3510924743046034,0.02592172676767613
Mean_reticulocyte_volume,0.92,0.91,0.09,0.97,0.6,0.97,0.6,0.11,0.05,0,0,170,7,0.233381352619591,0.0380210267818442,0.04718604727606818,0.998521989987139,0.00305067011771078,7.691325705999113,0.0710877523766888,0.02155463967102,0.02842561608862024,0.00102228112076678,0.1989793126203417,0.02587061323708355
Mean_time_to_correctly_identify_matches,0.97,0.99,0.59,0.78,0.88,0.78,0.88,0.99,0.99,0.95,0.95,15,6,0.0264407697476479,0.0186142894574396,0.0196907125926385,0.8057942057942058,4.4740617345479894e-4,0.1772164133337465,0.0271103445360455,0.0166604985843381,0.0196080458226303,4.909989083960877e-4,0.1176482749357818,0.6638678253476343
Monocyte_count,0.99,0.98,0.45,0.22,0.68,0.22,0.68,0.49,0.33,0.86,0.69,213,8,0.523813136261363,0.0292350425361387,0.0425741095157646,0.9999216914064772,0.00417354011813968,8.727692450731743,0.0261484608656311,0.01726390936244665,0.01887580274725181,1.7959224826672357e-4,0.1510064219780145,0.01730198707510069
Neuroticism_score,0.99,0.99,0.97,0.93,0.7,0.93,0.7,0.99,0.99,0.99,0.99,12,8,0.025680413441176,0.02274186421113075,0.02240516201914702,0.991919191919192,6.832949775385145e-4,0.0896206480765881,0.0204617194205965,0.01764122112829499,0.01802989069069968,3.476970132081977e-4,0.1442391255255975,1.6094407775575723
Neutrophill_count,0.97,0.89,0.14,0.13,0.19,0.13,0.19,0.71,0.78,0.71,0.65,195,9,0.168860920948975,0.0263158216958998,0.03419113284834013,0.8022516388815194,0.00170095567475756,6.3595507097912645,0.0658451390633416,0.0246289774902138,0.0305206060969376,0.00127175578348067,0.2746854548724384,0.04319258818858514
Peak_expiratory_flow_PEF,0.99,0.99,0.89,0.4,0.78,0.4,0.78,0.93,0.86,0.82,0.81,55,9,0.0577133668261522,0.0186630576557126,0.02250400195054629,0.877030190627848,6.106569194440257e-4,1.0351840897251297,0.0244185014211501,0.0161484057607339,0.01817751905931132,3.7858537548430106e-4,0.1635976715338019,0.15803727390868386
Phosphate,0.99,0.99,0.65,0.39,0.14,0.4,0.14,0.53,0.7,0.77,0.69,110,8,0.192075677321183,0.03039559812464404,0.0458163975074144,0.9854152743322436,0.00368794060906803,4.673272545756269,0.0330162097171548,0.02277046775628444,0.02353144232377427,6.700665956735247e-4,0.1882515385901942,0.04028259356735841
Platelet_count,0.99,0.99,0.28,0.95,0.71,0.95,0.71,0.23,0.1,0.33,0.69,256,9,0.320493155380075,0.0344756600951829,0.04772142773291387,0.9456503046392328,0.00358321043296541,11.787192650029729,0.0777602736108796,0.0256547138400734,0.03375579815593296,9.237173620008892e-4,0.3038021834033967,0.02577392195270775
Platelet_crit,0.99,0.99,0.33,0.27,0.29,0.27,0.29,0.86,0.75,0.39,0.18,258,8,0.172471090201246,0.03009089926287385,0.04288644952188412,0.9973185237648856,0.00266965724364974,10.721612380471033,0.0506058389591575,0.02083313989084015,0.02395513276463596,4.0637355478345905e-4,0.1916410621170877,0.01787427630438812
Red_blood_cell_erythrocyte_count,0.99,0.99,0.76,0.71,0.03,0.72,0.03,0.42,0.19,0.29,0.15,230,10,0.146136643199675,0.0248969057894898,0.03238585158747863,0.9858812826609986,0.00147580602775571,7.1248873492453,0.0758697608593779,0.01564825890401575,0.02732113510512981,0.00132068762108564,0.2732113510512982,0.03834605905456707
Red_blood_cell_erythrocyte_distribution_width,0.99,0.99,0.7,0.97,0.82,0.97,0.82,0.33,0.42,0.3,0.45,296,7,0.213975587969123,0.0290227404298015,0.03911933514371205,0.9658762558109992,0.00233588499422396,11.305487856532782,0.0414553144641845,0.021078872786292,0.02479275951734611,7.44400889605247e-4,0.1735493166214228,0.01535089142757681
Reticulocyte_count,0.98,0.98,0.05,0.77,0.55,0.8,0.55,0.64,0.64,0.7,0.67,197,5,0.234188638080739,0.0310386833399405,0.04360433508295944,0.5552933482999987,0.00276057283626099,8.372032335928212,0.070614854685273,0.0471184491090034,0.04175411549579667,0.00268362220032677,0.2087705774789834,0.02493666640333597
Reticulocyte_percentage,0.99,0.99,0.76,0.76,0.78,0.76,0.78,0.86,0.75,0.39,0.68,186,7,0.231594522509567,0.0331068777336324,0.04702356690742959,0.39283292454740854,0.0032077940626896,8.417218476429897,0.0902978203070865,0.0502477628474983,0.048836516194564,0.00347402486950259,0.341855613361948,0.0406138458113236
SHBG,0.98,0.99,0.94,0.98,0.74,0.98,0.74,0.59,0.66,0.35,0.25,186,6,0.285729371986599,0.025857232982218,0.04014917032963635,0.9952544535541136,0.00300077058224955,7.226850659334542,0.0431439169175066,0.01801062188001355,0.0217274950969377,5.727178447389669e-4,0.13036497058162622,0.01803897392195875
Sitting_height,1,1,0.85,0.95,0.23,0.95,0.23,0.59,0.52,0.15,0.14,486,32,0.169451454472128,0.021294027665512,0.02666334894128937,0.999975467232826,9.950874253885705e-4,12.105160419345374,0.0492203739656644,0.01463907041670485,0.01955764738667389,4.953358860369061e-4,0.6258447163735644,0.05170065448892325
Speed_of_sound_through_heel,0.99,0.99,0.58,0.12,0.46,0.1,0.46,0.01,0.02,0.02,0.02,182,8,0.323547556332864,0.0343547462581142,0.04711503130316923,0.9957576949797732,0.00344100368907575,8.198015446751446,0.0704798801162422,0.0265845600289163,0.0310357434838263,0.00133869637434042,0.2482859478706104,0.03028610393372659
Standing_height,1,1,0.99,0.99,0.01,0.99,0.01,0.81,0.46,0.9,0.79,851,51,0.142728619032079,0.01988087667702955,0.02572113587777438,0.9999999711327496,9.576163892917168e-4,20.57690870221951,0.0611532272985452,0.0143050644973716,0.01852899963408935,4.576807430940616e-4,0.9449789813385568,0.0459242442591305
Systolic_blood_pressure_automated_reading,0.98,0.98,0.64,0.47,0.73,0.47,0.73,0.77,0.87,0.98,0.93,94,5,0.0737325076454627,0.0224511366463567,0.02707130956146576,0.8398966125388999,8.725626254056354e-4,2.409346550970453,0.0408793510638999,0.0190524157118844,0.02460117901477742,7.392115317535464e-4,0.1230058950738871,0.05105363320371739
Testosterone,0.99,0.99,0.05,0.05,0.25,0.05,0.25,0.04,0.16,0.99,0.98,59,7,0.0768374884805401,0.0193712089479103,0.02740536905914143,0.9990513286045148,0.00106589630738487,1.4250791910753546,0.0231302595820326,0.0111057938295615,0.01317237602981168,2.071200720841593e-4,0.0922066322086818,0.06470281285849339
Total_bilirubin,0.99,0.99,0.52,0.89,0.78,0.88,0.78,0.47,0.27,0.99,0.93,97,13,0.753916592212117,0.02864098878542015,0.06233416296651849,0.9999971538125046,0.01343165362818737,5.236069689187554,0.0602076687905856,0.0162622023048093,0.02063927400538289,6.045541623314576e-4,0.2683105620699776,0.05124274083365181
Total_protein,0.99,0.99,0.56,0.99,0.44,0.99,0.44,0.92,0.63,0.75,0.82,171,10,0.260997944882861,0.0275296527501999,0.04028275977711797,0.9354102223640992,0.00272812155123841,6.4855243241159926,0.0469109796667772,0.02492827325453125,0.02638909111067212,8.604156580963818e-4,0.2638909111067212,0.0406892176975515
Trunk_fat_free_mass,1,1,0.73,0.69,0.68,0.7,0.68,0.23,0.43,0.09,0.02,373,28,0.130650832950843,0.0155631829769234,0.01947654254380683,0.9993200611357448,5.41815078614624e-4,6.719407177613356,0.0351797491297391,0.01151379003824175,0.01518283603055608,2.61512774546176e-4,0.4251194088555704,0.06326739809308106
Trunk_predicted_mass,1,1,0.68,0.79,0.22,0.79,0.22,0.75,0.58,0.45,0.31,372,27,0.129566141667305,0.0154630260134893,0.01924383241220846,0.9974352468569267,5.28128535104682e-4,6.639122182211919,0.0466359235265492,0.0118953165612496,0.01612633960931189,3.452479903133087e-4,0.43541116945142105,0.06558264142479715
Urate,0.91,0.9,0.57,0.56,0.46,0.56,0.46,0.46,0.61,0.52,0.73,159,5,0.344983422156133,0.02540830621276635,0.04201780181297786,0.8488091282860287,0.00438353241485273,6.47074147919859,0.0712144014467152,0.0223090476554479,0.02931384192626704,0.00138150132376644,0.1465692096313352,0.02265106867621112
Weight,1,1,0.83,1,0.99,1,0.99,1,0.95,0.86,0.95,280,55,0.188191561623351,0.020055656146447,0.02466463618195931,0.9999999998824466,9.092604099789876e-4,5.549543140940844,0.0605206291767003,0.0149629884180967,0.01789294168845821,3.984825183580224e-4,0.9841117928652018,0.1773320375879374
Whole_body_fat_free_mass,1,1,1,0.84,0.86,0.84,0.86,0.97,0.92,0.9,0.86,288,25,0.117702360003291,0.0165461333405109,0.02054658686336639,0.999727796902925,6.025371353220628e-4,5.403752345065361,0.0274860278728988,0.0124648848718481,0.01462678505382798,2.528102147529462e-4,0.3656696263456996,0.06766957532382559
Whole_body_water_mass,1,1,1,0.69,0.7,0.69,0.7,0.33,0.51,0.36,0.13,278,28,0.117545847014731,0.01662087155289645,0.02098044602179938,0.9998570253669404,6.292160453294931e-4,5.245111505449845,0.0272356304318921,0.01212981514160745,0.01472478140266144,2.480673865631247e-4,0.4122938792745204,0.07860536021896453
