PHENO,PEARSON_CORR,SPEARMAN_RHO,COSINE_SIM,TOP10PCT_PREV,TOP1PCT_PREV,TOP10PCT_OR,TOP1PCT_OR,PERCENTILE_AVE_PREV_SLOPE,PERCENTILE_AVE_PREV_SPEARMAN,PERCENTILE_AVE_PHENO_SLOPE,PERCENTILE_AVE_PHENO_SPEARMAN,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Arm_fat_mass_left,1,1,0.2,1,0.69,1,0.69,0.93,0.97,0.97,0.88,502,27,0.10310926528788,0.016787501638643,0.02064705036505942,0.978655188280236,5.662259862868177e-4,9.807348923403229,0.0906676420237141,0.0145266476878351,0.02063562353067239,6.135479335327911e-4,0.5571618353281547,0.05681064675884041
Arm_fat_mass_right,1,1,0.21,0.97,0.39,0.97,0.39,0.88,0.88,0.77,0.4,435,28,0.213328163625254,0.0165804858438519,0.02047062206277265,0.7021920682760596,6.249494325596097e-4,8.33154317954847,0.0452325791587136,0.0169451724819228,0.02077419189573754,5.306878418872325e-4,0.58167737308065115,0.06981628259558216
Arm_fat_percentage_left,1,1,0.42,0.75,0.92,0.75,0.92,0.94,0.93,0.84,0.69,169,8,0.0768583052985356,0.0141319032708332,0.01746570300047863,0.993223606971064,3.9648363680236935e-4,2.81197818307706,0.0220103210663012,0.01052574241474172,0.01221838230667408,1.4447137802889217e-4,0.0977470584533927,0.03476095904358373
Arm_fat_percentage_right,1,0.99,0.86,0.42,0.79,0.42,0.79,0.39,0.4,0.54,0.49,108,8,0.0770127781830309,0.01508461297028455,0.01886533823869344,0.965039987828134,4.816416254784272e-4,1.886533823869344,0.0217297407834551,0.0130772507453159,0.01365483344486161,2.348703066632936e-4,0.10923866755889294,0.05790443096050129
Arm_predicted_mass_left,1,1,0.31,0.81,0.75,0.81,0.75,0.59,0.55,0.14,0.14,503,26,0.109925994446511,0.0133156852758544,0.01615550445567596,0.9838792420447404,3.6150820817535854e-4,7.706175625357435,0.0328812691782614,0.010561765951791,0.01420911780125295,2.655054338212109e-4,0.3694370628325768,0.04794038973325906
Arm_predicted_mass_right,1,1,0.41,0.8,0.6,0.8,0.6,0.67,0.63,0.76,0.58,555,28,0.110872687493087,0.0130037107553623,0.015943361158054722,0.9998870131693428,3.5055683469799754e-4,8.40215133029484,0.030253268033707,0.0094891274478683,0.01204290218087371,1.8412273145680083e-4,0.33720126106446385,0.0401327288463193
Aspartate_aminotransferase,1,1,0.52,0.95,0.39,0.95,0.39,0.99,0.98,0.8,0.81,189,14,0.15954759186967,0.0246617539502009,0.03514753021701745,0.9978201511710229,0.00189296223088409,6.150817787978054,0.0637174931452605,0.0168275056128586,0.02203974348037346,6.558637639350974e-4,0.3085564087252285,0.05016510313934362
Basal_metabolic_rate,1,1,0.55,0.69,0.53,0.69,0.53,0.67,0.45,0.43,0.23,774,51,0.118727909277205,0.013244811788125,0.01630387275825888,0.99987484218035,3.728660512797525e-4,11.78770000422117,0.0361723714756808,0.00957157656847411,0.01443119445589305,2.8350383618647667e-4,0.7359909172505458,0.06243719444734662
Birth_weight,0.96,0.97,0.88,0.78,0.58,0.78,0.58,0.74,0.77,0.92,0.87,131,8,0.0975102667765155,0.0244440390977727,0.02990958477870316,0.8685958682158897,0.00116903084928306,3.678878927780489,0.0636277876616802,0.01988212662060595,0.02985788295324787,8.549553691642869e-4,0.238863063625983,0.0649282208833363
Body_fat_percentage,0.95,0.84,0.65,0.55,0.73,0.55,0.73,0.95,0.97,0.87,0.83,139,10,0.0733161631369372,0.0154290526370391,0.01808624919355058,0.999974079245669,4.1374269114412656e-4,2.333126145968025,0.0238418993083702,0.00973874579900567,0.0112336297946987,1.2742991702089214e-4,0.11233629794698706,0.04814840300903585
Body_mass_index_BMI,1,0.99,0.51,0.81,0.49,0.81,0.49,0.87,0.8,0.9,0.63,308,13,0.210298526052372,0.0174597307182342,0.02121559292863343,0.9960967557843792,6.807938307694724e-4,6.258599913946863,0.0368615916157947,0.0145183905238735,0.01699082914607208,3.719547875594002e-4,0.2208807788989371,0.03529236281851462
C_reactive_protein,1,1,0.48,0.77,0.95,0.77,0.95,0.64,0.47,0.57,0.91,238,9,0.216982450624473,0.0223759627688036,0.03792141556714478,0.9991669200929172,0.0026611187536043,8.684004164876155,0.0735477340461488,0.0134814361192939,0.02195268333765196,9.62754131378219e-4,0.1975741500388677,0.02275150337191085
Calcium,1,1,0.83,0.57,0.87,0.56,0.87,0.93,0.94,0.73,0.63,272,15,0.207184440983386,0.0217322523384088,0.03153962344425894,0.9924765842380652,0.00164929955101067,8.105683225174547,0.0678714283109491,0.0175808260463728,0.02226620970291621,7.165059478112313e-4,0.3339931455437432,0.04120481102770347
Cholesterol,1,1,0.72,0.81,0.21,0.81,0.21,0.84,0.64,0.76,0.68,384,14,0.421857965193158,0.02909054170842204,0.047957612649537,0.9999983374114952,0.00550286232168346,17.74431668032869,0.0454370527725973,0.0137472222266195,0.01740150559732259,4.062078365898112e-4,0.24362107836251629,0.01372952719180187
Creatinine,1,1,0.62,0.86,0.77,0.86,0.77,0.99,0.95,1,1,297,18,0.146670725667743,0.0199379831319596,0.02676943209857123,0.9992813542161676,0.001039811120161,7.468671555501373,0.0249624569194537,0.01464646851661315,0.01654745200129974,2.983528442422331e-4,0.2978541360233954,0.03988047055088371
Cystatin_C,1,1,0.5,0.79,0.46,0.8,0.46,0.99,0.92,0.99,0.83,290,11,0.623662909084188,0.0233917112268988,0.03603900654144868,0.9879128322714448,0.00422523292386456,10.054882825064183,0.0472389557450074,0.0180845786153232,0.0208769486881906,5.931791795604795e-4,0.2296464355700966,0.02283929505350856
Diastolic_blood_pressure_automated_reading,1,1,0.27,0.89,0.65,0.89,0.65,0.6,0.4,0.83,0.56,297,18,0.0820148046041491,0.0196757267088833,0.02430446567858839,0.6577558213972626,7.423730647685228e-4,6.780945924326162,0.0440680156598529,0.02113654795189705,0.02211508040241665,5.920744651550625e-4,0.3980714472434998,0.05870441258282959
Eosinophill_count,1,1,0.07,1,0.83,1,0.83,0.74,0.82,0.46,0.18,579,38,0.178916723635998,0.0234203013248916,0.03055219942183572,0.9999987522975528,0.00129964649573937,16.528739887213128,0.0579383185059116,0.0151898986784761,0.02174874752272888,6.537324964413616e-4,0.8264524058636976,0.05000093240641128
Forced_expiratory_volume_in_1_second_FEV1,1,1,1,0.99,0.72,0.99,0.72,0.82,0.71,0.7,0.51,456,39,0.0870024562777739,0.0146263355704644,0.01809210596409289,0.5040553165988345,4.379232814615148e-4,7.544408187026738,0.0573456391312927,0.017809401642931,0.02083672123999036,5.912643824177193e-4,0.8126321283596243,0.10771317089616328
Forced_vital_capacity_FVC,1,1,0.91,0.33,0.89,0.33,0.89,0.66,0.71,0.51,0.48,346,16,0.106447443832448,0.01525009192233825,0.01915794523856443,0.9814422335095232,5.029750197822938e-4,6.322121928726265,0.0425482035201653,0.01246745815885174,0.01697881050834945,4.301310022570616e-4,0.2716609681335912,0.04296990333249132
Gamma_glutamyltransferase,1,1,0.61,0.48,0.33,0.48,0.33,0.92,0.97,0.83,0.21,273,8,0.275130967835782,0.0247153450452155,0.03487519451487328,0.9020105114725492,0.00204624221005887,9.24192654644142,0.0579792203955191,0.02133097393311939,0.02587808077722067,0.00103496191416951,0.2070246462177654,0.02240059420267516
Glycated_haemoglobin_HbA1c,1,1,0.4,1,0.55,1,0.55,0.87,0.68,0.83,0.79,402,21,0.224231049765561,0.0242295990185102,0.03409649185036299,0.9413806496238172,0.00193263642203651,12.990763394988296,0.0723512377999088,0.0218872982244977,0.02714666398531252,0.00106206244095566,0.570079943691563,0.04388348292999424
Haematocrit_percentage,1,1,0.85,0.94,0.78,0.94,0.78,0.47,0.52,0.37,0.4,318,15,0.266885152723538,0.0179743265880408,0.02514848441570566,0.9805683413321906,0.00128836716116291,7.619990777958817,0.0343909099783018,0.0137137724381901,0.01764516993316625,4.0721558917250646e-4,0.2646775489974938,0.034734628519904
Haemoglobin_concentration,1,1,0.62,0.85,0.83,0.85,0.83,0.96,0.98,0.81,0.97,366,22,0.154524941256475,0.01702283521725315,0.02268479139998777,0.9916554509077208,8.253364664523208e-4,7.803568241595794,0.029139592410963,0.01423096226012714,0.01590662189798586,2.832049178641592e-4,0.34994568175568885,0.04484431620529105
HDL_cholesterol,0.88,0.88,0.2,0.69,0.71,0.69,0.71,0.75,0.51,0.89,0.93,273,9,0.285932309964897,0.02518810944346185,0.03969890677183068,0.9263300510745004,0.00312055065512706,10.4805113877633,0.0402528190730419,0.0211064827542539,0.02288123868206523,6.033365283205126e-4,0.2059311481385871,0.01964895991421043
Heel_bone_mineral_density_BMD,1,1,0.66,0.99,0.93,0.99,0.92,1,0.9,0.98,0.94,458,33,0.299180311763684,0.0273580410775729,0.03756211433856774,0.9996947886201356,0.00216566266991218,15.963898593891292,0.115003508079722,0.0208321471688348,0.02904893754304081,0.0012564957811811,0.958614938920347,0.06004892434528294
Heel_bone_mineral_density_BMD_left,1,1,0.95,0.73,0.81,0.72,0.81,0.34,0.41,0.51,0.48,224,12,0.340245899825858,0.03618908632889835,0.04568807882349066,0.9231034222889124,0.0031768424312062,9.68587271058002,0.076725521625588,0.0305835482310852,0.0364674661309315,0.00172551469582608,0.4376095935711781,0.04518019249759195
Heel_bone_mineral_density_BMD_right,0.98,0.98,0.55,0.75,0.41,0.75,0.41,0.92,0.84,0.63,0.57,137,7,0.307269135223799,0.0403592041962839,0.05385169976990286,0.9990442851493871,0.00440627043803897,7.000720970087372,0.0695523408201997,0.0229722797107356,0.03061211283323914,0.00127101913316803,0.214284789832674,0.03060896024113351
Heel_bone_mineral_density_BMD_T_score_automated,1,1,0.77,0.91,0.55,0.9,0.55,0.93,0.77,1,0.95,463,36,0.300246578464082,0.0273604416396835,0.0375134942108935,0.9998189845700998,0.002181138364078,16.018262028051527,0.115248717439683,0.02147270100721315,0.02882677513666526,0.00120382501116239,1.0377639049199494,0.06478629848248173
Heel_bone_mineral_density_BMD_T_score_automated_left,1,1,0.67,0.9,0.24,0.9,0.24,0.22,0.42,0.13,0.13,214,10,0.340853015061479,0.0366521833568848,0.04644171573699784,0.968521769038981,0.00328635373200203,9.47411001034756,0.0792437184905126,0.02751906192374615,0.03519032582574607,0.00144749394943493,0.3519032582574607,0.03714367448479216
Heel_bone_mineral_density_BMD_T_score_automated_right,0.96,0.96,0.46,0.46,0.89,0.48,0.89,0.67,0.84,0.42,0.64,126,5,0.307548554809047,0.0416606254310553,0.05563478521922647,0.999847888402818,0.00462265821719079,6.731809011526404,0.0278157960939079,0.0219300384793373,0.02309772128263954,6.610839158303296e-4,0.1154886064131977,0.0171556570032594
Heel_Broadband_ultrasound_attenuation_direct_entry,1,1,0.31,0.98,0.95,0.98,0.95,0.57,0.58,0.47,0.67,404,33,0.227757971456154,0.0273960173798568,0.03621502997144892,0.995268634275695,0.00192498459063411,13.435776119407551,0.0802921162828908,0.0221920511721006,0.03145887835920662,0.00142239984821383,1.0381429858538187,0.07726706493376696
Heel_broadband_ultrasound_attenuation_left,0.88,0.9,0.14,0.89,0.04,0.89,0.04,0.69,0.45,0.24,0.23,90,5,0.284707804412476,0.0441801821131003,0.05770305760619275,0.9964811008460952,0.00490288234394503,4.904759896526383,0.045287807335699,0.0238490883603954,0.02853186310608532,6.064778311259424e-4,0.1426593155304266,0.02908589177453107
Heel_broadband_ultrasound_attenuation_right,1,1,0.66,0.9,0.57,0.9,0.57,0.65,0.47,0.12,0.16,172,12,0.260411693866665,0.0361895463774288,0.04850063333733399,0.7524443006510914,0.00355736883153225,7.760101333973438,0.112857708959183,0.032406357445603703,0.04902668971662476,0.00364720824911874,0.5883202765994971,0.07581347862351392
Heel_quantitative_ultrasound_index_QUI_direct_entry,1,1,0.77,0.93,0.55,0.93,0.55,0.93,0.78,1,0.99,463,36,0.300250594004665,0.0273572757288788,0.03751373174948119,0.9998189845700998,0.00218116426310396,16.018363457028467,0.115249410153651,0.02146801252049525,0.02882704216602782,0.00120386287428989,1.0377735179770016,0.06478648838010052
Heel_quantitative_ultrasound_index_QUI_direct_entry_left,1,1,0.67,0.9,0.24,0.9,0.24,0.2,0.4,0.14,0.11,214,10,0.340856203541436,0.03665454025434665,0.04644199946141052,0.968521769038981,0.00328639399472551,9.474167890127744,0.0792454028789691,0.0275199315176551,0.03519042527491018,0.00144750686377826,0.3519042527491018,0.03714355253465504
Heel_quantitative_ultrasound_index_QUI_direct_entry_right,0.96,0.96,0.46,0.46,0.89,0.48,0.89,0.67,0.83,0.39,0.63,126,5,0.307540140524349,0.0416570069325887,0.05563375968455095,0.999847888402818,0.00462246146492423,6.731684921830666,0.0278177771809782,0.021931127466174,0.02309826634354184,6.611255169561485e-4,0.1154913317177092,0.0171563780923813
High_light_scatter_reticulocyte_count,1,1,0.31,1,0.61,1,0.61,0.13,0.25,0.39,0.34,412,23,0.188716202767644,0.0255385739313303,0.03561374426465184,0.9991987807047616,0.00198231317927225,13.853746518949563,0.0635521024359438,0.0144892635281789,0.02507244914664275,8.754843573147393e-4,0.5766663303727833,0.04162529822413034
High_light_scatter_reticulocyte_percentage,1,1,0.77,0.96,0.31,0.96,0.31,0.69,0.64,0.32,0.24,365,16,0.186498801138712,0.0276284394652642,0.03715833678236866,0.9600024143956494,0.00216071033308818,12.968259537046665,0.0632134413743186,0.02158061423038635,0.02737322076250348,0.00103420464331213,0.4379715322000557,0.03377257610775713
Hip_circumference,1,1,0.76,0.95,0.38,0.95,0.38,0.13,0.47,0.37,0.6,302,20,0.09962274322761,0.0194083746662145,0.02423438395204595,0.9755923810367716,7.797703571945191e-4,6.834096274476958,0.0542887248206726,0.0159189759562858,0.02169540036431725,6.382938169580716e-4,0.4339080072863451,0.0634916439364258
IGF_1,1,1,0.3,0.96,0.72,0.96,0.72,0.45,0.36,0.33,0.39,571,36,0.272766336893564,0.0215954701385776,0.03026115306293752,0.9997915755688924,0.00148508224584695,16.189716888671576,0.0540503540392103,0.01697503684375185,0.02097746646641259,5.278407704378867e-4,0.7551887927908535,0.04664620128837963
Immature_reticulocyte_fraction,1,1,0.37,0.9,0.79,0.9,0.79,0.57,0.47,0.58,0.73,364,21,0.262099074884905,0.0237196123759131,0.03353419646240963,0.9998993494539054,0.00188139489904159,11.502229386606505,0.103585354459525,0.0151441923090278,0.02291611241693786,9.878620945376565e-4,0.4812383607556951,0.0418387031401114
Impedance_of_arm_left,1,1,0.57,0.62,0.67,0.61,0.67,0.9,0.82,0.76,0.63,738,56,0.088192238052942,0.01273112298841725,0.01576294101960522,0.9676691049244448,3.278868946605913e-4,10.750325775370758,0.0425215769294815,0.0109805414777894,0.01576074694873278,3.275459014620138e-4,0.882601829129036,0.08210000771800767
Impedance_of_arm_right,1,1,0.42,0.96,0.16,0.96,0.16,0.33,0.47,0.97,0.99,479,37,0.0887655816685983,0.0140483983075658,0.01723533262627663,0.9898656339515004,4.0492011592183346e-4,7.618017020814274,0.039149429948004,0.0114040759632632,0.01536829689477391,2.750625585427529e-4,0.5686269851066348,0.0746423883739046
Impedance_of_leg_left,1,1,0.11,1,0.91,1,0.91,0.8,0.58,0.63,0.82,661,61,0.0933757503604679,0.01687980679650755,0.02109852884722796,0.9999974075187538,5.8858730765729e-4,12.659117308336777,0.054455399762411,0.0133957247713365,0.01853658433630811,4.8152924807258105e-4,1.130731644514795,0.08932152352914383
Impedance_of_leg_right,1,1,1,1,0.9,1,0.9,0.99,0.92,0.81,0.36,704,73,0.124436759699615,0.0168396005071223,0.02105668478521716,0.9950752833049502,5.9516776001182e-4,13.28676809947203,0.0653552058504449,0.0146542512456232,0.0204172331729814,5.739802872230437e-4,1.4904580216276426,0.1121761146479909
Impedance_of_whole_body,1,1,0.52,0.91,0.8,0.91,0.8,0.91,0.94,0.69,0.93,529,43,0.133135994891029,0.0151165732479777,0.01877380831506789,0.997975942661106,4.841378201430256e-4,9.124070841122997,0.0469889530249376,0.0125192371842359,0.01674896814128721,3.7882879020749297e-4,0.7202056300753501,0.07893468196556734
LDL_direct,1,1,0.62,0.38,0.37,0.37,0.37,0.97,0.99,0.9,0.52,380,15,0.820398088770616,0.0261543956752032,0.0477261127368388,0.9879198669985024,0.00771202262004212,17.420031148946162,0.0735025679604273,0.021598500337367,0.02643902565085325,0.00104208608217955,0.39658538476279886,0.02276605485787496
Leg_fat_free_mass_left,1,1,0.93,0.97,0.77,0.97,0.77,0.78,0.71,0.99,0.97,756,48,0.10850900874025,0.01248106676696645,0.0153562685069174,0.9999673813470976,3.2838836469326705e-4,10.872238102897525,0.0367736146067925,0.00957801570367408,0.01301654485028866,2.2686384666484929e-4,0.624794152813856,0.05746693062648657
Leg_fat_free_mass_right,1,1,1,0.87,0.46,0.87,0.46,0.68,0.75,0.62,0.29,863,67,0.10843850772789,0.01217426621842135,0.01522633291404624,0.9983518221350788,3.203408272814256e-4,12.120160999580811,0.0375694695824323,0.0101146839218809,0.014516660860517481,2.8979736361239475e-4,0.9726162776546714,0.08024780179803803
Leg_fat_mass_left,1,1,0.77,0.98,0.34,0.98,0.34,0.73,0.85,0.93,0.99,438,27,0.0840459796687152,0.0128706589938124,0.01551515161674975,0.9999386119278516,3.0554375199500817e-4,6.376727314484147,0.030049654329508,0.0105944562776979,0.01254996080033945,1.8680123008333292e-4,0.33884894160916534,0.05313837724242987
Leg_fat_mass_right,1,1,0.58,0.94,0.28,0.94,0.28,0.69,0.74,0.41,0.45,410,24,0.0848351917350393,0.0131199989085049,0.01584453460981301,0.9997447058691264,3.20957137824807e-4,6.115990359387823,0.0306335847528342,0.0107042573967989,0.01356977688691518,2.2907010561440397e-4,0.32567464528596435,0.05324969892832901
Leg_fat_percentage_left,0.68,0.45,0.57,0.65,0.19,0.65,0.19,0.15,0.24,0.55,0.44,226,9,0.0558987267308934,0.0106234591710076,0.01225245733756243,0.8294741402994088,1.832629143793858e-4,2.6587832422510473,0.0296541900818394,0.00867445707016303,0.01258144937628334,1.931115561011911e-4,0.1132330443865501,0.04258829474593868
Leg_fat_percentage_right,1,0.99,0.73,0.54,0.59,0.54,0.59,0.29,0.12,0.65,0.76,325,21,0.0539841058097437,0.01016183507760025,0.01184371966089153,0.9999155650842596,1.7151186804797866e-4,3.6004907769110264,0.0193360161443037,0.00816789076030001,0.00975295640827195,1.1179589781886467e-4,0.20481208457371108,0.05688449082750484
Leg_predicted_mass_left,1,1,0.61,0.88,0.35,0.88,0.35,0.55,0.23,0.91,0.77,810,51,0.107789869175742,0.0121504972750517,0.01495074461912136,0.987613299197636,3.110855973549489e-4,11.347615165913115,0.037507575508176,0.010294370424308,0.01417539664466135,2.7211258533972756e-4,0.7229452288777289,0.06370900125775944
Leg_predicted_mass_right,1,1,0.86,0.94,0.38,0.94,0.38,0.26,0.4,0.22,0.47,846,63,0.107317583136707,0.0121465237164226,0.01527701881578243,0.998970281913841,3.2253845165823163e-4,11.96190573275764,0.0381627670024604,0.0103224548169256,0.01414718780678142,2.718754067218653e-4,0.8912728318272296,0.07450926731402688
Mean_corpuscular_haemoglobin,1,0.99,0.77,0.5,0.68,0.5,0.68,0.02,0.01,0.01,0,372,9,0.320325644326503,0.0301728493305239,0.04249178928729347,0.999023434112081,0.00306235255616977,15.42451951128753,0.0419139675887025,0.0182958685398347,0.02021100717022075,5.441493983861351e-4,0.1818990645319868,0.01179285127156633
Mean_corpuscular_haemoglobin_concentration,0.86,0.84,0.45,0.71,0.69,0.71,0.69,0.51,0.41,0.52,0.54,119,5,0.151828384767269,0.0239719552323806,0.03007703210472569,0.9556245727206786,0.00124546440974203,3.4287816599387297,0.0409376927560258,0.0160340144443245,0.0199874849196684,5.572957098616477e-4,0.099937424598342,0.02914662830998921
Mean_corpuscular_volume,1,1,0.5,0.36,0.27,0.37,0.27,0.19,0.2,0.13,0.45,586,17,0.277083855982214,0.0265860716779125,0.03735511028761201,0.9979267965383504,0.00240913075157984,21.255057753651233,0.054513325735625603,0.0169919961660529,0.02295172190786265,6.251845864155525e-4,0.3901792724336652,0.01835700833918644
Mean_sphered_cell_volume,1,1,0.2,0.93,0.99,0.93,0.99,0.7,0.66,0.67,0.85,704,29,0.468039705560499,0.0223374502414051,0.03188880048250987,0.9999826547655144,0.00187516879793306,21.52494032569416,0.0527295378847685,0.014630625349671,0.0198444015232218,4.739389315074834e-4,0.5754876441734323,0.02673585317616314
Mean_time_to_correctly_identify_matches,0.94,0.96,0.33,1,0.29,1,0.29,0.94,0.91,0.93,0.87,95,5,0.0621888586205084,0.01488961021194035,0.01749937875890972,0.8958643845421094,3.715478288692737e-4,1.574944088301875,0.0239305168175001,0.0131316163464333,0.01528634349743902,3.1784530861019375e-4,0.0764317174871951,0.0485297973781436
Monocyte_count,1,1,0.66,0.97,0.46,0.97,0.46,0.64,0.85,0.65,0.86,367,14,0.523813136261492,0.0248414730685616,0.03561982560064099,0.9999767635894652,0.00286314942562676,12.573798437026271,0.03166256757541,0.01598500189907735,0.0177758180985109,3.586373267736502e-4,0.2488614533791526,0.01979206638515265
Neutrophill_count,1,1,0.73,1,0.42,1,0.42,0.61,0.49,0.81,0.98,462,30,0.16886092094912,0.02138067622609465,0.02705868250208061,0.9999999191637012,0.00107298871682996,11.689350840898824,0.026088215581883602,0.0135514388002948,0.01613117132390204,2.9092186297408214e-4,0.4839351397170613,0.04139965908319424
Phosphate,1,1,0.4,0.69,0.71,0.69,0.71,0.97,0.97,0.78,0.83,245,12,0.192075677321289,0.0208361922409939,0.03205162806827068,0.6410632214320499,0.00193773422881176,7.468029339907068,0.0565488888755756,0.0230341967224101,0.02936170186822508,0.00111859657026293,0.352340422418701,0.0471798390689083
Platelet_count,1,1,0.44,1,0.48,1,0.48,0.44,0.26,0.43,0.93,792,53,0.320493155380094,0.0239069952104047,0.03396391528104278,0.9999160624322628,0.0019354181077646,25.099333392690617,0.0639844535771899,0.0181177772914075,0.02488020260513577,8.357809201770597e-4,1.318650738072196,0.05253728126724716
Platelet_crit,1,1,0.66,0.93,0.97,0.93,0.97,0.52,0.66,0.63,0.5,434,25,0.177668935199222,0.0266136632244912,0.03591992547079782,0.9895848199311288,0.00200323190564519,14.69124951755631,0.0474145244695333,0.0200267346355559,0.02550402945932372,8.134543283591869e-4,0.6376007364830931,0.04340003453900559
Pulse_rate_automated_reading,1,1,0.99,0.12,0.57,0.12,0.57,0.93,0.99,0.9,0.94,103,6,0.102181918891558,0.0288722259924942,0.0351926094271978,0.8624129756921219,0.00163008376886389,3.4136831144381867,0.0610513725475459,0.02364570048268995,0.02805330395510078,9.579010138362e-4,0.1683198237306047,0.04930739558651337
Red_blood_cell_erythrocyte_count,1,1,0.73,0.84,0.87,0.83,0.87,0.77,0.78,0.6,0.6,394,13,0.146136643199675,0.021197015198181,0.02783439976666991,0.9963964864829292,0.00115627054844576,10.60490631110124,0.0578318594312852,0.0125088186811585,0.02001377666674956,6.480106803544322e-4,0.2601790966677443,0.02453384207603873
Red_blood_cell_erythrocyte_distribution_width,1,1,0.85,0.68,0.19,0.68,0.19,0.84,0.8,0.59,0.73,453,13,0.21397558796918,0.02552327787537819,0.03466160766065906,0.5525879537760008,0.00196970427560822,15.251107370689986,0.053377472855078,0.0275798320346238,0.03034665969060169,0.00102781236246768,0.394506575977822,0.02586740532271092
Reticulocyte_count,1,1,0.24,1,0.1,1,0.1,0.36,0.36,0.7,0.68,399,28,0.234188638080827,0.0243760334059305,0.03479997905261477,0.9999845052154148,0.00189443576781836,12.910792228520082,0.0636412160069086,0.01522998330620544,0.0246547503011764,8.392271837217438e-4,0.6903330084329394,0.05346945378828002
