PHENOTYPE,N_SNPS,N_TARGET_SNPS,MAX_MAG_BKGRD,MEDIAN_MAG_BKGRD,AVE_MAG_BKGRD,BETA_WILCOX_PVAL,VAR_BKGRD,SUM_BKGRD,MAX_MAG_TARGET,MEDIAN_MAG_TARGET,AVE_MAG_TARGET,VAR_TARGET,SUM_TARGET,SUM_RATIO_TARGET_BKGRD
Arm_fat_mass_left,502,151,0.10310926528788,0.0172334068365209,0.021163382489185936,0.9999999914481162,5.939180316465186e-4,7.428347253704263,0.0906676420237141,0.0146085090600763,0.019444791424020662,5.250005141283664e-4,2.9361635050271198,0.3952647075785203
Arm_fat_mass_right,435,94,0.213328163625254,0.0168194772621008,0.021045009784111866,0.9999976004227502,6.717330796665659e-4,7.176348336382146,0.0701488520598245,0.0144731700280913,0.0184773640026274,4.2522265868803007e-4,1.7368722162469756,0.24202730063164618
Arm_fat_percentage_left,169,19,0.0768583052985356,0.0141829046946659,0.017672469484185875,0.9884529822678979,4.0838794152454205e-4,2.650870422627881,0.0220103210663012,0.0125088269494477,0.013623937836977464,1.4945924427708216e-4,0.2588548189025718,0.09764898981594199
Arm_fat_percentage_right,108,15,0.0770127781830309,0.0154608105296895,0.01931362189678453,0.9996550290939465,5.002484380854907e-4,1.7961668364009613,0.0295963168239168,0.0108702083438493,0.013307043668485048,1.9050601556252908e-4,0.19960565502727573,0.11112868302770368
Arm_predicted_mass_left,503,56,0.109925994446511,0.0136405132681664,0.01646556469013605,0.9999999328320835,3.745233638602834e-4,7.3601074164908145,0.0328812691782614,0.00959703111196928,0.012776879851771396,2.1458422835755718e-4,0.7155052716991981,0.09721397137439333
Arm_predicted_mass_right,555,62,0.110872687493087,0.0131848902809444,0.015995117032877672,0.9999364947243184,3.530582224894257e-4,7.8855926972086925,0.0379354873532051,0.01073526838298435,0.013770320873396975,2.561948192487789e-4,0.8537598941506125,0.10826832261483943
Aspartate_aminotransferase,189,23,0.15954759186967,0.0256582856799255,0.03608528105548041,0.9999988440687653,0.001971749007988743,5.9901566552097485,0.0637174931452605,0.015653466143603,0.020400762673631927,5.825116968905625e-4,0.4692175414935343,0.07833143079579517
Basal_metabolic_rate,774,106,0.118727909277205,0.013527524639995701,0.016583522152963475,0.9999999996347454,3.8620994591445987e-4,11.077792798179603,0.0378179633367333,0.00963967721075601,0.013640548332944464,2.4524279268151435e-4,1.445898123292113,0.1305222213155779
Birth_weight,131,38,0.0975102667765155,0.0250507880525961,0.030139223760732373,0.9688336687829394,0.0011642514733407295,2.802947809748111,0.0852381948400845,0.02132774722369745,0.029336688991009496,0.0010871609403730917,1.1147941816583609,0.39772206167425667
Body_fat_percentage,139,16,0.0733161631369372,0.0156256542495785,0.01839861028357174,0.9999996467326875,4.2713474190928425e-4,2.2630290648793236,0.0238418993083702,0.01006002127340017,0.011402086189730525,1.4018033487252205e-4,0.1824333790356884,0.08061468669003449
Body_mass_index_BMI,308,31,0.210298526052372,0.0177732728405214,0.021544290457005184,0.9999988148378421,7.049352564790867e-4,5.967768456590436,0.0419805870817358,0.0137525598567108,0.016506846330818222,3.172837801474177e-4,0.5117122362553649,0.08574599366204655
Calcium,272,27,0.207184440983386,0.0217819173909733,0.03179783901672317,0.9985214866824559,0.0016756481394271914,7.7904705590971774,0.0790018738744098,0.0175808260463728,0.024044659689670834,8.496146385022335e-4,0.6492058116211125,0.08333332456574326
Cholesterol,384,27,0.421857965193158,0.0293983092337676,0.04883755194447638,0.999999892618858,0.005682821451382473,17.435006044178067,0.050885779170934,0.0147636401766178,0.020478952389375547,5.168623894587517e-4,0.5529317145131398,0.0317138814355488
C_reactive_protein,238,18,0.216982450624473,0.02259616688731495,0.03869481901331832,0.9999269370539464,0.0027547707017935128,8.51286018293003,0.0735477340461488,0.01442133626238305,0.020484340665832972,6.591984826339194e-4,0.3687181319849935,0.04331307269962525
